contest_id,problem_id,total_count,gnu_cpp,ms_cpp,gnu_c,gnu_cpp0x,gnu_cpp11,gnu_c11,gnu_cpp14,gnu_cpp_diagnostics,clangpp_17_diagnostics,gnu_cpp17
443,a,16641,6609,1110,887,364,3623,279,3056,5,10,698
963,a,1018,128,12,0,0,298,1,442,0,0,137
963,e,84,15,0,0,0,31,0,29,0,0,9
963,b,898,96,5,0,0,298,0,398,0,0,101
963,c,308,27,1,0,0,108,0,119,0,0,53
963,d,659,41,0,0,0,207,0,301,0,0,110
914,e,654,79,7,0,0,222,0,317,0,0,29
914,b,5351,773,99,57,0,1321,9,2971,7,0,114
914,h,35,5,1,0,0,13,0,14,0,0,2
914,f,387,60,3,0,0,105,0,198,0,0,21
914,a,7333,1193,113,158,0,1750,40,3883,46,0,150
914,c,2193,248,15,6,0,565,1,1282,2,0,74
914,d,2721,323,27,1,0,794,1,1480,0,0,95
914,g,367,54,0,0,0,137,0,151,0,0,25
1056,f,287,0,2,0,0,65,0,119,0,0,101
1056,a,3194,0,52,0,0,789,43,1315,0,1,994
1056,e,1025,0,2,0,0,237,0,391,0,1,394
1056,b,2149,0,19,0,0,475,9,933,0,0,713
1056,h,67,0,0,0,0,22,0,26,0,0,19
1056,g,108,0,0,0,0,23,0,49,0,0,36
1056,c,1368,0,9,0,0,309,2,562,0,0,486
1056,d,2054,0,9,0,0,455,1,893,0,0,696
987,c,5318,673,57,20,0,1248,8,2421,0,2,889
987,d,2344,172,20,2,0,624,1,1084,0,0,441
987,e,1863,203,16,4,0,453,1,816,0,0,370
987,b,6700,916,79,82,0,1506,45,2964,4,2,1102
987,f,404,38,5,0,0,112,0,156,0,0,93
987,a,7254,878,103,94,0,1691,49,3218,0,3,1218
200,b,13703,3970,744,1018,115,3412,261,3261,16,9,897
630,a,14090,7276,564,523,0,3467,166,1617,0,6,471
1080,b,5590,0,176,0,0,1770,86,2001,0,6,1551
1080,e,410,0,5,0,0,163,0,128,0,0,114
1080,a,6228,0,222,0,0,1952,167,2176,0,8,1703
1080,f,334,0,0,0,0,151,0,94,0,1,88
1080,d,923,0,13,0,0,349,1,320,0,0,240
1080,c,2748,0,52,0,0,997,8,938,0,1,752
1019,c,377,32,1,0,0,135,0,140,0,0,69
1019,d,526,23,5,3,0,96,0,212,0,0,187
1019,a,1179,128,17,1,0,351,0,426,0,0,256
1019,e,110,2,0,0,0,51,0,38,0,0,19
1019,b,691,46,7,0,0,187,0,288,0,1,162
926,j,35,1,0,0,0,8,0,16,0,0,10
926,g,100,4,2,28,0,9,24,28,0,0,5
926,c,210,23,5,36,0,35,30,60,0,0,21
926,i,72,2,3,8,0,11,19,18,0,0,11
926,d,87,6,1,20,0,6,17,28,0,0,9
926,f,10,0,0,2,0,1,2,2,0,0,3
926,a,362,36,7,22,0,71,22,162,1,0,41
926,e,76,8,1,4,0,20,10,22,0,0,11
926,h,30,2,0,0,0,9,0,13,0,0,6
926,b,198,29,9,3,0,42,12,64,0,0,39
951,d,11,0,0,0,0,2,0,4,0,0,5
951,c,17,0,0,0,0,5,0,7,0,0,5
951,g,1,0,0,0,0,0,0,1,0,0,0
951,b,8,0,0,0,0,1,0,4,0,0,3
951,e,5,0,0,0,0,0,0,2,0,0,3
951,a,17,0,0,0,0,5,0,7,0,0,5
96,a,32545,11606,2595,3024,344,6734,1079,5690,64,20,1389
131,a,22975,9610,1898,1984,329,4475,620,3287,0,13,759
1064,c,4215,0,62,0,0,1392,11,1716,0,1,1033
1064,d,2119,0,31,0,0,729,0,801,0,0,558
1064,e,866,0,8,0,0,302,0,320,0,0,236
1064,b,4925,0,96,0,0,1650,28,1955,0,2,1194
1064,f,35,0,0,0,0,14,0,10,0,0,11
1064,a,7044,0,286,0,0,2243,161,2641,0,11,1702
1013,a,5767,795,143,95,0,1324,37,2185,0,2,1186
1013,f,25,2,0,0,0,7,0,7,0,0,9
1013,b,4254,557,51,17,0,1042,4,1652,0,0,931
1013,e,649,96,7,0,0,161,0,245,0,0,140
1013,d,1098,136,22,0,0,305,0,381,0,0,254
1013,c,2758,361,39,5,0,696,1,1050,0,0,606
705,a,15583,4019,879,806,0,5877,390,2704,34,6,868
1060,f,144,0,1,0,0,61,0,57,0,0,25
1060,a,6263,0,165,0,0,2165,125,2287,0,2,1519
1060,e,1520,0,9,0,0,647,0,529,0,0,335
1060,b,5082,0,149,0,0,1719,45,1905,0,11,1253
1060,h,52,0,0,0,0,21,0,19,0,0,12
1060,g,24,0,0,0,0,13,0,7,0,0,4
1060,c,3085,0,53,0,0,1178,17,1105,0,1,731
1060,d,2373,0,48,0,0,975,2,796,0,0,552
1017,e,318,34,0,0,0,89,0,120,0,0,75
1017,b,6174,763,86,21,0,1525,7,2473,5,1,1293
1017,h,46,3,0,0,0,11,0,22,0,0,10
1017,f,690,47,4,0,0,191,0,241,0,0,207
1017,a,8290,1002,165,120,0,1993,84,3217,7,4,1698
1017,c,3847,487,28,9,0,1026,0,1456,0,0,841
1017,d,2626,209,19,3,0,716,0,1037,0,0,642
1017,g,214,9,2,0,0,89,0,74,0,0,40
928,b,901,54,51,3,0,210,0,509,0,0,74
928,a,1013,68,79,2,0,231,2,551,0,0,80
928,d,394,12,12,0,0,97,0,231,0,0,42
928,c,430,6,10,0,0,115,0,235,0,0,64
922,e,1044,85,10,0,0,350,0,544,0,0,55
922,b,5337,762,106,49,0,1325,17,2926,2,2,148
922,f,363,44,3,4,0,109,0,182,0,0,21
922,a,5774,954,193,119,0,1411,33,2873,13,0,178
922,c,4287,602,93,25,0,1074,6,2318,9,1,159
922,d,2738,363,66,3,0,782,7,1417,0,0,100
955,c,1534,116,10,1,0,412,0,794,0,0,201
955,d,211,33,1,0,0,63,0,83,0,0,31
955,f,88,8,1,0,0,40,0,30,0,0,9
955,a,4045,617,94,71,0,973,13,1978,13,1,285
955,e,40,2,0,0,0,12,0,23,0,0,3
955,b,2784,361,39,12,0,702,1,1457,0,1,211
148,a,19778,8228,1495,1491,267,3932,417,3172,15,7,754
1084,b,3288,0,80,0,0,759,27,1441,0,2,979
1084,e,291,0,5,0,0,86,0,105,0,0,95
1084,a,3937,0,109,0,0,933,60,1655,0,1,1179
1084,f,16,0,0,0,0,5,0,6,0,0,5
1084,d,1150,0,13,0,0,298,0,467,0,0,372
1084,c,2615,0,46,0,0,605,27,1157,0,1,779
236,a,26429,9462,1916,2068,304,5630,722,5046,0,24,1257
983,a,905,146,17,4,0,257,0,299,0,0,182
983,e,386,32,0,0,0,166,0,141,0,0,47
983,b,1569,265,29,4,0,399,32,580,0,0,260
983,c,491,44,3,0,0,147,0,212,0,0,85
983,d,138,18,0,0,0,62,0,48,0,0,10
1025,d,1078,62,10,0,0,355,2,407,0,0,242
1025,c,3884,405,37,2,0,986,28,1566,0,0,860
1025,g,97,5,0,0,0,41,0,30,0,0,21
1025,b,2811,272,37,3,0,742,7,1113,0,0,637
1025,e,305,16,2,0,0,107,0,98,1,0,81
1025,a,6734,780,136,52,0,1560,35,2732,2,2,1435
1025,f,318,16,1,0,0,100,0,121,0,0,80
1058,e,671,0,7,0,0,254,1,240,0,0,169
1058,b,4581,0,69,0,0,1465,56,1953,0,3,1035
1058,f,83,0,1,0,0,35,0,30,0,0,17
1058,a,5773,0,104,0,0,1782,161,2467,0,3,1256
1058,c,4002,0,36,0,0,1290,17,1749,0,1,909
1058,d,1235,0,7,0,0,406,4,541,0,0,277
1058,g,21,0,0,0,0,8,0,7,0,0,6
1,a,41598,10223,3974,3583,0,9673,1626,9661,200,85,2573
967,e,188,22,1,0,0,63,0,78,0,0,24
967,b,3118,486,39,13,0,833,7,1282,0,0,458
967,f,37,9,0,0,0,13,0,7,0,0,8
967,a,2874,476,37,43,0,751,11,1120,0,0,436
967,c,1503,208,12,5,0,407,3,619,0,0,249
967,d,718,77,5,1,0,206,1,309,0,0,119
910,c,841,118,12,22,0,210,6,442,8,0,23
910,b,992,205,43,43,0,203,3,471,8,0,16
910,a,2179,352,44,73,0,477,15,1033,8,0,177
989,e,187,28,1,0,0,54,0,75,0,0,29
989,b,4454,476,60,32,0,1080,9,2036,0,2,759
989,a,5888,653,79,74,0,1376,19,2661,5,0,1021
989,c,2331,261,32,5,0,631,3,929,1,1,468
989,d,364,42,2,0,0,98,0,130,0,0,92
1097,f,441,0,1,0,0,131,2,161,0,0,146
1097,a,5870,0,144,0,0,1360,148,2467,0,5,1746
1097,e,100,0,0,0,0,31,0,32,0,0,37
1097,b,4614,0,52,0,0,1108,49,1980,0,1,1424
1097,h,16,0,0,0,0,2,0,9,0,0,5
1097,g,92,0,0,0,0,33,0,32,0,0,27
1097,c,3442,0,21,0,0,820,8,1471,0,4,1118
1097,d,1115,0,4,0,0,330,1,410,0,0,370
1079,d,780,0,6,0,0,198,1,321,0,0,254
1079,c,798,0,12,0,0,200,1,340,0,0,245
1079,g,23,0,0,0,0,10,0,6,0,0,7
1079,b,2229,0,32,0,0,600,12,895,0,0,690
1079,e,277,0,0,0,0,69,0,103,0,0,105
1079,a,2671,0,37,0,0,726,15,1080,0,0,813
1079,f,37,0,0,0,0,8,0,12,0,0,17
466,a,13902,5873,846,825,478,2863,208,2301,9,6,493
931,d,2253,274,28,4,0,601,1,1212,0,1,132
931,c,1919,250,30,7,0,548,1,943,0,1,139
931,a,5659,808,181,129,0,1361,58,2732,6,1,383
931,f,292,36,2,0,0,68,0,160,0,0,26
931,b,4157,671,103,45,0,1021,8,2019,3,1,286
931,e,630,83,7,0,0,162,0,321,0,0,57
946,f,258,25,1,0,0,79,0,129,0,0,24
946,a,7326,1200,215,210,0,1757,75,3254,29,1,585
946,e,617,68,6,1,0,187,0,301,0,0,54
946,b,5517,703,135,56,0,1388,21,2759,9,0,446
946,g,239,26,1,0,0,77,0,116,0,0,19
946,c,4903,645,116,39,0,1217,11,2501,3,0,371
946,d,2198,241,23,5,0,640,1,1085,0,0,203
1073,b,6527,0,145,0,0,1836,60,2749,0,5,1732
1073,e,970,0,7,0,0,280,2,399,0,0,282
1073,a,7088,0,159,0,0,1972,130,2948,0,6,1873
1073,f,228,0,0,0,0,83,0,99,0,0,46
1073,d,3616,0,50,0,0,1043,10,1473,0,5,1035
1073,c,2542,0,36,0,0,825,0,946,0,1,734
1073,g,211,0,0,0,0,95,0,76,0,0,40
1004,f,177,7,0,0,0,60,0,70,0,0,40
1004,a,6295,760,93,93,0,1341,20,2850,5,2,1131
1004,e,580,61,2,0,0,171,0,236,0,0,110
1004,b,5226,659,70,36,0,1151,12,2307,2,0,989
1004,c,4561,505,41,9,0,1007,3,2129,0,0,867
1004,d,975,123,7,1,0,257,0,362,0,0,225
897,c,1613,253,15,3,0,496,1,819,4,0,22
897,d,552,71,9,0,0,169,0,282,3,0,18
897,e,88,4,1,0,0,50,1,28,0,0,4
897,b,4925,892,89,37,0,1263,13,2510,28,1,92
897,a,7234,1337,213,146,0,1822,61,3401,31,5,218
903,b,4937,859,134,91,0,1218,59,2455,16,0,105
903,e,764,70,5,0,0,242,0,419,0,0,28
903,a,7701,1510,233,275,0,1784,94,3513,58,0,234
903,f,368,29,2,0,0,157,1,161,0,0,18
903,d,1710,192,8,0,0,425,2,1008,0,0,75
903,c,5589,934,112,72,0,1433,25,2841,9,2,161
903,g,185,26,1,0,0,90,0,62,0,0,6
1036,e,876,0,11,0,0,267,0,346,0,0,252
1036,b,3690,0,93,0,0,1118,11,1547,0,2,919
1036,f,800,0,7,0,0,233,0,336,0,0,224
1036,a,6093,0,135,0,0,1856,55,2597,0,4,1446
1036,c,2776,0,47,0,0,876,6,1143,0,2,702
1036,d,4127,0,66,0,0,1197,10,1799,0,3,1052
1036,g,174,0,0,0,0,69,0,52,0,0,53
1041,d,2998,0,26,0,0,1098,4,1172,0,1,697
1041,c,4244,0,36,0,0,1491,0,1734,0,1,982
1041,a,7859,0,309,0,0,2530,133,3129,0,3,1755
1041,f,734,0,5,0,0,288,0,280,0,0,161
1041,b,6230,0,117,0,0,2099,48,2577,0,0,1389
1041,e,1694,0,11,0,0,648,1,664,0,1,369
990,e,1292,150,18,1,0,365,1,499,0,2,256
990,b,5098,640,57,23,0,1199,6,2242,0,0,931
990,f,481,57,1,0,0,169,0,173,0,0,81
990,a,6203,781,90,85,0,1448,35,2640,9,4,1111
990,c,3732,391,33,4,0,943,17,1634,1,1,708
990,d,2202,212,13,2,0,603,1,936,0,1,434
990,g,754,77,2,0,0,228,0,305,0,0,142
909,a,5439,906,76,65,0,1346,19,2907,28,0,92
909,f,276,29,4,0,0,91,0,141,1,0,10
909,b,4135,619,56,51,0,1078,12,2224,20,0,75
909,e,923,74,2,1,0,275,0,535,0,1,35
909,d,1099,110,21,1,0,295,0,629,2,0,41
909,c,2494,331,30,7,0,691,3,1308,1,0,123
750,a,14719,3489,582,691,0,4547,250,4566,17,2,575
904,b,358,28,19,0,0,81,0,228,2,0,0
904,e,2,0,0,0,0,1,0,1,0,0,0
904,a,340,24,28,0,0,74,1,212,1,0,0
904,d,1,0,0,0,0,1,0,0,0,0,0
904,c,198,7,6,0,0,50,0,134,1,0,0
50,a,40416,14715,4048,4265,401,7613,1392,6266,134,38,1544
119,a,12687,6313,1196,940,264,2207,155,1339,5,2,266
1046,g,17,0,0,0,0,7,0,5,0,0,5
1046,j,8,0,0,0,0,1,0,4,0,0,3
1046,d,30,0,0,0,0,15,0,7,0,0,8
1046,c,1135,0,16,0,0,390,7,431,0,0,291
1046,i,108,0,0,0,0,38,0,32,0,0,38
1046,a,174,0,0,0,0,37,0,99,0,0,38
1046,f,969,0,7,0,0,315,4,388,0,0,255
1046,h,555,0,2,0,0,174,0,227,0,0,152
1046,b,69,0,0,0,0,28,0,26,0,0,15
1046,e,2,0,0,0,0,0,0,2,0,0,0
